CGPA,Internships,Placed,Salary (INR LPA),Placed_num
8.1,3,Yes,12.17,1
8.02,1,Yes,15.3,1
9.23,0,Yes,21.31,1
7.25,2,No,0.0,0
7.68,1,Yes,17.66,1
7.7,2,Yes,12.37,1
8.76,3,Yes,14.76,1
7.42,4,No,0.0,0
7.72,1,No,0.0,0
7.99,1,No,0.0,0
7.65,3,Yes,24.45,1
7.14,0,Yes,10.51,1
7.66,4,Yes,6.84,1
8.36,1,Yes,11.46,1
6.68,4,Yes,25.94,1
7.61,1,Yes,5.4,1
6.94,4,Yes,29.78,1
8.46,2,Yes,17.61,1
6.28,1,No,0.0,0
7.05,4,Yes,29.59,1
7.8,0,No,0.0,0
8.75,2,Yes,28.35,1
7.45,2,Yes,15.23,1
7.06,0,Yes,8.36,1
9.0,4,Yes,7.45,1
6.34,3,Yes,9.48,1
5.74,0,Yes,22.17,1
7.85,4,Yes,10.37,1
7.1,0,Yes,12.22,1
6.68,0,Yes,15.12,1
8.07,1,No,0.0,0
7.7,4,No,0.0,0
7.05,3,No,0.0,0
6.48,1,Yes,27.66,1
8.2,0,No,0.0,0
8.02,0,No,0.0,0
7.42,0,Yes,8.11,1
8.98,4,No,0.0,0
6.64,4,Yes,3.14,1
6.28,1,No,0.0,0
6.95,3,No,0.0,0
7.46,1,Yes,4.62,1
7.69,2,Yes,27.43,1
7.31,0,No,0.0,0
7.78,0,Yes,20.48,1
6.5,0,Yes,10.37,1
8.66,1,No,0.0,0
7.43,1,Yes,7.78,1
8.39,0,Yes,10.95,1
7.77,1,Yes,6.1,1
7.87,4,Yes,28.42,1
7.96,4,Yes,24.17,1
7.86,1,Yes,15.48,1
8.01,0,Yes,26.35,1
8.56,1,Yes,9.74,1
7.66,1,No,0.0,0
8.07,1,Yes,22.36,1
7.43,2,Yes,26.12,1
8.65,4,Yes,12.63,1
6.96,3,Yes,23.45,1
8.94,3,Yes,10.97,1
7.47,2,Yes,11.07,1
6.36,1,No,0.0,0
7.6,2,Yes,5.89,1
6.96,2,Yes,14.88,1
8.17,0,Yes,22.7,1
6.98,4,Yes,28.39,1
7.14,3,Yes,19.3,1
5.99,1,Yes,26.3,1
7.14,3,Yes,25.21,1
5.56,3,No,0.0,0
6.23,4,Yes,7.68,1
8.11,3,Yes,16.12,1
8.13,3,Yes,6.16,1
7.84,2,Yes,21.42,1
6.73,4,Yes,28.65,1
7.46,0,Yes,6.7,1
7.5,1,Yes,22.81,1
6.57,3,Yes,20.07,1
8.7,1,Yes,18.76,1
8.2,0,Yes,13.53,1
7.32,1,Yes,12.59,1
7.52,0,Yes,4.22,1
7.67,2,Yes,8.88,1
5.87,3,No,0.0,0
7.3,0,Yes,3.41,1
6.95,1,No,0.0,0
6.7,3,Yes,18.7,1
7.28,2,Yes,5.86,1
8.94,3,Yes,26.57,1
8.01,0,Yes,17.12,1
7.04,2,Yes,21.89,1
7.96,1,No,0.0,0
